tid,target_chembl_id,target_pref_name,target_type,assay_id,assay_chembl_id,assay_description,assay_type,assay_type_desc,assay_test_type,assay_category_chembl,bao_format,bao_label,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction,variant_id,variant_mutation,variant_accession,variant_isoform,confidence_score,confidence_desc,relationship_type,relationship_desc,src_id,src_short_name,src_assay_id,doc_chembl_id,doc_year,doc_journal,pubmed_id,doi,doc_title,assay_parameters,n_assay_parameters,assay_classifications,n_assay_classifications,n_activities,n_activities_with_pchembl,n_distinct_compounds,standard_types,activity_comments,n_activity_comments,assay_category,classification_confidence,classification_reason,review_required,classification_method,llm_category,llm_confidence,llm_evidence,llm_reasoning,llm_evidence_verified,llm_error,final_category,final_confidence,final_method,final_review_required
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,566833,CHEMBL957642,"Activation of flag-tagged human recombinant liver glucokinase expressed in Escherichia coli assessed as maximal activating response by glucose-6-phosphate dehydrogenase coupled continuous spectrophotometric assay relative to 2-amino-5-(4-methyl-4H-1,2,4-triazol-3-ylthio)-N-(4-methylthiazol-2-yl)benzamide in presence of 2.5 mM glucose",B,Binding,,,BAO_0000019,assay format,Homo sapiens,9606,,,,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1153380,2009,Bioorg Med Chem,19282189,10.1016/j.bmc.2009.02.038,Discovery of potent and orally active 3-alkoxy-5-phenoxy-N-thiazolyl benzamides as novel allosteric glucokinase activators.,,0,,0,24,0,24,Activity:24,,0,GCK 激活,high,描述命中激活类措辞：「Activation of flag-tagged human recombinant liver glucokinase expresse…」,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,566834,CHEMBL957643,Activation of flag-tagged human recombinant liver glucokinase expressed in Escherichia coli by glucose-6-phosphate dehydrogenase coupled continuous spectrophotometric assay in presence of 10 mM glucose,B,Binding,,,BAO_0000019,assay format,Homo sapiens,9606,,,,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1153380,2009,Bioorg Med Chem,19282189,10.1016/j.bmc.2009.02.038,Discovery of potent and orally active 3-alkoxy-5-phenoxy-N-thiazolyl benzamides as novel allosteric glucokinase activators.,,0,,0,25,23,25,EC50:25,,0,GCK 激活,high,描述命中激活类措辞：「Activation of flag-tagged human recombinant liver glucokinase expresse…」；standard_type 与描述一致（EC50:25→激活）,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,566835,CHEMBL957569,"Activation of flag-tagged human recombinant liver glucokinase expressed in Escherichia coli assessed as maximal activating response by glucose-6-phosphate dehydrogenase coupled continuous spectrophotometric assay relative to 2-amino-5-(4-methyl-4H-1,2,4-triazol-3-ylthio)-N-(4-methylthiazol-2-yl)benzamide in presence of 10 mM glucose",B,Binding,,,BAO_0000019,assay format,Homo sapiens,9606,,,,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1153380,2009,Bioorg Med Chem,19282189,10.1016/j.bmc.2009.02.038,Discovery of potent and orally active 3-alkoxy-5-phenoxy-N-thiazolyl benzamides as novel allosteric glucokinase activators.,,0,,0,24,0,24,Activity:24,,0,GCK 激活,high,描述命中激活类措辞：「Activation of flag-tagged human recombinant liver glucokinase expresse…」,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,575546,CHEMBL1035543,Activation of glucokinase,B,Binding,,,BAO_0000357,single protein format,,,,,,,,,,,8,Homologous single protein target assigned,H,Homologous protein target assigned,1,LITERATURE,,CHEMBL1151869,2009,Bioorg Med Chem Lett,19362831,10.1016/j.bmcl.2009.03.137,"Discovery of novel 3,6-disubstituted 2-pyridinecarboxamide derivatives as GK activators.",,0,,0,11,11,11,EC50:11,,0,GCK 激活,high,描述命中激活类措辞：「Activation of glucokinase」；standard_type 与描述一致（EC50:11→激活）,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,576767,CHEMBL1032034,Activation of flag-tagged human recombinant liver glucokinase expressed in Escherichia coli by glucose-6-phosphate dehydrogenase coupled continuous spectrophotometric assay in presence of 2.5 mM glucose,B,Binding,,,BAO_0000019,assay format,Homo sapiens,9606,,,,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1151922,2009,Bioorg Med Chem,19427223,10.1016/j.bmc.2009.04.040,"Structure-activity relationships of 3,5-disubstituted benzamides as glucokinase activators with potent in vivo efficacy.",,0,,0,34,32,32,EC50:34,,0,GCK 激活,high,描述命中激活类措辞：「Activation of flag-tagged human recombinant liver glucokinase expresse…」；standard_type 与描述一致（EC50:34→激活）,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,576768,CHEMBL1032035,Activation of flag-tagged human recombinant liver glucokinase expressed in Escherichia coli by glucose-6-phosphate dehydrogenase coupled continuous spectrophotometric assay in presence of 10 mM glucose,B,Binding,,,BAO_0000019,assay format,Homo sapiens,9606,,,,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1151922,2009,Bioorg Med Chem,19427223,10.1016/j.bmc.2009.04.040,"Structure-activity relationships of 3,5-disubstituted benzamides as glucokinase activators with potent in vivo efficacy.",,0,,0,34,32,32,EC50:34,,0,GCK 激活,high,描述命中激活类措辞：「Activation of flag-tagged human recombinant liver glucokinase expresse…」；standard_type 与描述一致（EC50:34→激活）,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,584072,CHEMBL1058313,Activation of flag-tagged recombinant human liver glucokinase expressed in Escherichia coli assessed as glucose-6-phosphate dehydrogenase by spectrophotometry,B,Binding,,,BAO_0000019,assay format,Homo sapiens,9606,,,,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1153645,2009,Bioorg Med Chem Lett,19540111,10.1016/j.bmcl.2009.05.038,Discovery of novel 2-(pyridine-2-yl)-1H-benzimidazole derivatives as potent glucokinase activators.,,0,,0,25,22,24,EC50:25,,0,GCK 激活,high,描述命中激活类措辞：「Activation of flag-tagged recombinant human liver glucokinase expresse…」；standard_type 与描述一致（EC50:25→激活）,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,584073,CHEMBL1058314,"Activation of flag-tagged recombinant human liver glucokinase expressed in Escherichia coli assessed as glucose-6-phosphate dehydrogenase activity by spectrophotometry relative to 2-amino-5-(4-methyl-4H-1,2,4-triazol-3-ylthio)-N-(4-methylthiazol-2-yl)benzamide",B,Binding,,,BAO_0000019,assay format,Homo sapiens,9606,,,,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1153645,2009,Bioorg Med Chem Lett,19540111,10.1016/j.bmcl.2009.05.038,Discovery of novel 2-(pyridine-2-yl)-1H-benzimidazole derivatives as potent glucokinase activators.,,0,,0,25,0,24,Emax:25,,0,GCK 激活,high,描述命中激活类措辞：「Activation of flag-tagged recombinant human liver glucokinase expresse…」；standard_type 与描述一致（Emax:25→激活）,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,584077,CHEMBL1058318,"Activation of flag-tagged recombinant human liver glucokinase expressed in Escherichia coli assessed as glucose-6-phosphate dehydrogenase activity at 30 uM spectrophotometry relative to 2-amino-5-(4-methyl-4H-1,2,4-triazol-3-ylthio)-N-(4-methylthiazol-2-yl)benzamide",B,Binding,,,BAO_0000019,assay format,Homo sapiens,9606,,,,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1153645,2009,Bioorg Med Chem Lett,19540111,10.1016/j.bmcl.2009.05.038,Discovery of novel 2-(pyridine-2-yl)-1H-benzimidazole derivatives as potent glucokinase activators.,,0,,0,6,0,6,Emax:6,,0,GCK 激活,high,描述命中激活类措辞：「Activation of flag-tagged recombinant human liver glucokinase expresse…」；standard_type 与描述一致（Emax:6→激活）,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,588966,CHEMBL1056161,Activation of N-terminal His-tagged human recombinant liver glucokinase expressed in Escherichia coli BL21 (DE3) by glucose-6-phosphate dehydrogenase coupled continuous spectrophotometric assay in presence of 2.5 mM glucose,B,Binding,,,BAO_0000019,assay format,Homo sapiens,9606,,,,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1155212,2009,Bioorg Med Chem Lett,19726182,10.1016/j.bmcl.2009.08.064,Discovery and structure-activity relationships of a novel class of quinazoline glucokinase activators.,,0,,0,30,30,30,EC50:30,,0,GCK 激活,high,描述命中激活类措辞：「Activation of N-terminal His-tagged human recombinant liver glucokinas…」；standard_type 与描述一致（EC50:30→激活）,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,588967,CHEMBL1056162,"Activation of N-terminal His-tagged human recombinant liver glucokinase expressed in Escherichia coli BL21 (DE3) by glucose-6-phosphate dehydrogenase coupled continuous spectrophotometric assay in presence of 2.5 mM glucose relative to 2-amino-5-(4-methyl-4H-1,2,4-triazol-3-ylthio)-N-(4-methylthiazol-2-yl)benzamide",B,Binding,,,BAO_0000019,assay format,Homo sapiens,9606,,,,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1155212,2009,Bioorg Med Chem Lett,19726182,10.1016/j.bmcl.2009.08.064,Discovery and structure-activity relationships of a novel class of quinazoline glucokinase activators.,,0,,0,29,0,29,Emax:29,,0,GCK 激活,high,描述命中激活类措辞：「Activation of N-terminal His-tagged human recombinant liver glucokinas…」；standard_type 与描述一致（Emax:29→激活）,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,588968,CHEMBL1056163,Activation of N-terminal His-tagged human recombinant liver glucokinase expressed in Escherichia coli BL21 (DE3) by glucose-6-phosphate dehydrogenase coupled continuous spectrophotometric assay in presence of 10 mM glucose,B,Binding,,,BAO_0000019,assay format,Homo sapiens,9606,,,,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1155212,2009,Bioorg Med Chem Lett,19726182,10.1016/j.bmcl.2009.08.064,Discovery and structure-activity relationships of a novel class of quinazoline glucokinase activators.,,0,,0,30,30,30,EC50:30,,0,GCK 激活,high,描述命中激活类措辞：「Activation of N-terminal His-tagged human recombinant liver glucokinas…」；standard_type 与描述一致（EC50:30→激活）,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,588969,CHEMBL1056164,"Activation of N-terminal His-tagged human recombinant liver glucokinase expressed in Escherichia coli BL21 (DE3) by glucose-6-phosphate dehydrogenase coupled continuous spectrophotometric assay in presence of 10 mM glucose relative to 2-amino-5-(4-methyl-4H-1,2,4-triazol-3-ylthio)-N-(4-methylthiazol-2-yl)benzamide",B,Binding,,,BAO_0000019,assay format,Homo sapiens,9606,,,,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1155212,2009,Bioorg Med Chem Lett,19726182,10.1016/j.bmcl.2009.08.064,Discovery and structure-activity relationships of a novel class of quinazoline glucokinase activators.,,0,,0,29,0,29,Emax:29,,0,GCK 激活,high,描述命中激活类措辞：「Activation of N-terminal His-tagged human recombinant liver glucokinas…」；standard_type 与描述一致（Emax:29→激活）,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,589483,CHEMBL1053631,Activation of His-tagged human recombinant liver glucokinase expressed in Escherichia coli BL21 (DE3) assessed as drug level required for half-maximal activation,B,Binding,,,BAO_0000221,tissue-based format,Homo sapiens,9606,,Liver,,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1155225,2009,J Med Chem,19746978,10.1021/jm900839k,Investigation of functionally liver selective glucokinase activators for the treatment of type 2 diabetes.,,0,,0,31,0,31,Activity:31,,0,GCK 激活,high,描述命中激活类措辞：「Activation of His-tagged human recombinant liver glucokinase expressed…」,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,589513,CHEMBL1054393,Activity at human recombinant liver glucokinase expressed in Escherichia coli BL21 (DE3),B,Binding,,,BAO_0000019,assay format,Homo sapiens,9606,,,,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1155225,2009,J Med Chem,19746978,10.1021/jm900839k,Investigation of functionally liver selective glucokinase activators for the treatment of type 2 diabetes.,,0,,0,1,0,1,Vmax:1,,0,无法判断,low,描述无方向措辞，standard_type 也全为方向中性（Vmax:1）,TRUE,rule,无法判断,low,Activity at human recombinant liver glucokinase expressed in Escherichia coli BL21 (DE3),描述仅提及活性测定且实测指标为 Vmax，未指明化合物对 GCK 的作用方向（激活或抑制），无法明确分类。,TRUE,,无法判断,low,manual_review_required,TRUE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,589514,CHEMBL1054394,Activation of His-tagged human recombinant liver glucokinase expressed in Escherichia coli BL21 (DE3) assessed as drug level required for half-maximal activation for sigmoid activation curve,B,Binding,,,BAO_0000221,tissue-based format,Homo sapiens,9606,,Liver,,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1155225,2009,J Med Chem,19746978,10.1021/jm900839k,Investigation of functionally liver selective glucokinase activators for the treatment of type 2 diabetes.,,0,,0,1,0,1,Activity:1,,0,GCK 激活,high,描述命中激活类措辞：「Activation of His-tagged human recombinant liver glucokinase expressed…」,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,602872,CHEMBL1065927,Activation of human liver glucokinase expressed in CHO cells at 2.5 mM glucose concentration by glucose-6-phosphate coupled continuous spectrophotometric assay,B,Binding,,,BAO_0000219,cell-based format,Homo sapiens,9606,,,CHO,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1152594,2009,Bioorg Med Chem,19736020,10.1016/j.bmc.2009.05.037,The design and optimization of a series of 2-(pyridin-2-yl)-1H-benzimidazole compounds as allosteric glucokinase activators.,,0,,0,16,14,16,EC50:16,,0,GCK 激活,high,描述命中激活类措辞：「Activation of human liver glucokinase expressed in CHO cells at 2.5 mM…」；standard_type 与描述一致（EC50:16→激活）,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,602873,CHEMBL1038416,"Activation of human liver glucokinase expressed in CHO cells at 2.5 mM glucose concentration by glucose-6-phosphate coupled continuous spectrophotometric assay relative to 2-amino-N-(4-methyl-1,3-thiazol-2-yl)-5-[(4-methyl-4H-1,2,4-triazol-3-yl)sulfanyl]benzamide",B,Binding,,,BAO_0000219,cell-based format,Homo sapiens,9606,,,CHO,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1152594,2009,Bioorg Med Chem,19736020,10.1016/j.bmc.2009.05.037,The design and optimization of a series of 2-(pyridin-2-yl)-1H-benzimidazole compounds as allosteric glucokinase activators.,,0,,0,14,0,14,Emax:14,,0,GCK 激活,high,描述命中激活类措辞：「Activation of human liver glucokinase expressed in CHO cells at 2.5 mM…」；standard_type 与描述一致（Emax:14→激活）,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,602874,CHEMBL1038417,Activation of human liver glucokinase expressed in CHO cells at 10 mM glucose concentration by glucose-6-phosphate coupled continuous spectrophotometric assay,B,Binding,,,BAO_0000219,cell-based format,Homo sapiens,9606,,,CHO,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1152594,2009,Bioorg Med Chem,19736020,10.1016/j.bmc.2009.05.037,The design and optimization of a series of 2-(pyridin-2-yl)-1H-benzimidazole compounds as allosteric glucokinase activators.,,0,,0,16,14,16,EC50:16,,0,GCK 激活,high,描述命中激活类措辞：「Activation of human liver glucokinase expressed in CHO cells at 10 mM…」；standard_type 与描述一致（EC50:16→激活）,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,602875,CHEMBL1038418,"Activation of human liver glucokinase expressed in CHO cells at 10 mM glucose concentration by glucose-6-phosphate coupled continuous spectrophotometric assay relative to 2-amino-N-(4-methyl-1,3-thiazol-2-yl)-5-[(4-methyl-4H-1,2,4-triazol-3-yl)sulfanyl]benzamide",B,Binding,,,BAO_0000219,cell-based format,Homo sapiens,9606,,,CHO,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1152594,2009,Bioorg Med Chem,19736020,10.1016/j.bmc.2009.05.037,The design and optimization of a series of 2-(pyridin-2-yl)-1H-benzimidazole compounds as allosteric glucokinase activators.,,0,,0,14,0,14,Emax:14,,0,GCK 激活,high,描述命中激活类措辞：「Activation of human liver glucokinase expressed in CHO cells at 10 mM…」；standard_type 与描述一致（Emax:14→激活）,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,603822,CHEMBL1042962,Activation of human glucokinase expressed in Escherichia coli BL21(DE3) by G6PDH-coupled spectrometry,B,Binding,,,BAO_0000019,assay format,Homo sapiens,9606,,,,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1152613,2009,Bioorg Med Chem,19758809,10.1016/j.bmc.2009.08.045,Benzamide derivatives as dual-action hypoglycemic agents that inhibit glycogen phosphorylase and activate glucokinase.,,0,,0,6,6,6,EC50:6,,0,GCK 激活,high,描述命中激活类措辞：「Activation of human glucokinase expressed in Escherichia coli BL21(DE3…」；standard_type 与描述一致（EC50:6→激活）,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
20095,CHEMBL3820,Hexokinase-4,SINGLE PROTEIN,603823,CHEMBL1042963,Activation of human glucokinase expressed in Escherichia coli BL21(DE3) at 10 uM by G6PDH-coupled spectrometry relative to untreated control,B,Binding,,,BAO_0000019,assay format,Homo sapiens,9606,,,,,,,,,9,Direct single protein target assigned,D,Direct protein target assigned,1,LITERATURE,,CHEMBL1152613,2009,Bioorg Med Chem,19758809,10.1016/j.bmc.2009.08.045,Benzamide derivatives as dual-action hypoglycemic agents that inhibit glycogen phosphorylase and activate glucokinase.,,0,,0,34,0,34,FC:34,,0,GCK 激活,high,描述命中激活类措辞：「Activation of human glucokinase expressed in Escherichia coli BL21(DE3…」；standard_type 与描述一致（FC:34→激活）,FALSE,rule,,,,,,,GCK 激活,high,rule,FALSE
