assay_chembl_id,assay_description,assay_category,standard_types,n_activities,doc_chembl_id,doc_title,src_short_name,target_identity_evidence
CHEMBL4050296,Inhibition of human GCK assessed as residual activity at 1 uM in presence of 33P-ATP by filter-binding assay relative to control,GCK 抑制,Activity:1,1,CHEMBL4049403,"Oligo-aspartic acid conjugates with benzo[c][2,6]naphthyridine-8-carboxylic acid scaffold as picomolar inhibitors of CK2.",LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL4057298,Inhibition of GCK (unknown origin) at 0.45 uM relative to control,GCK 抑制,Inhibition:1,1,CHEMBL4052759,Discovery of DS79182026: A potent orally active hepcidin production inhibitor.,LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL4057494,Inhibition of GCK (unknown origin) at 0.49 uM relative to control,GCK 抑制,Inhibition:1,1,CHEMBL4052759,Discovery of DS79182026: A potent orally active hepcidin production inhibitor.,LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL4118352,Inhibition of GCK in human SKCO1 cells at 1 uM after 4 hrs using biotin labeled DIKGANLLLTLQGDVK probe by mass-spectrometric analysis relative to control,GCK 抑制,Inhibition:3,3,CHEMBL4118021,Studies of TAK1-centered polypharmacology with novel covalent TAK1 inhibitors.,LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)；描述含 MAP4K2 催化域特征肽 DIKGANLLLTLQGDVK（葡萄糖激酶序列中不存在）
CHEMBL4120341,Inhibition of GCK (unknown origin) at 0.45 uM relative to control,GCK 抑制,Inhibition:1,1,CHEMBL4118098,"Discovery of DS28120313 as a potent orally active hepcidin production inhibitor: Design and optimization of novel 4,6-disubstituted indazole derivatives.",LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL4120568,Inhibition of GCK (unknown origin) at 0.19 uM relative to control,GCK 抑制,Inhibition:1,1,CHEMBL4118098,"Discovery of DS28120313 as a potent orally active hepcidin production inhibitor: Design and optimization of novel 4,6-disubstituted indazole derivatives.",LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL4120792,Inhibition of GCK (unknown origin) at 0.164 uM relative to control,GCK 抑制,Inhibition:1,1,CHEMBL4118098,"Discovery of DS28120313 as a potent orally active hepcidin production inhibitor: Design and optimization of novel 4,6-disubstituted indazole derivatives.",LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL4327702,Inhibition of human GCK assessed as residual activity at 1 uM using MBP as substrate by [gamma-33P]-ATP assay relative to control,GCK 抑制,Activity:2,2,CHEMBL4325871,"ASR352, A potent anticancer agent: Synthesis, preliminary SAR, and biological activities against colorectal cancer bulk, 5-fluorouracil/oxaliplatin resistant and stem cells.",LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL4328066,Inhibition of human GCK assessed as residual activity at 100 uM using MBP as substrate by [gamma-33P]-ATP assay relative to control,GCK 抑制,Activity:1,1,CHEMBL4325871,"ASR352, A potent anticancer agent: Synthesis, preliminary SAR, and biological activities against colorectal cancer bulk, 5-fluorouracil/oxaliplatin resistant and stem cells.",LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL4328430,Inhibition of human GCK using MBP as substrate by [gamma-33P]-ATP assay,GCK 抑制,IC50:1,1,CHEMBL4325871,"ASR352, A potent anticancer agent: Synthesis, preliminary SAR, and biological activities against colorectal cancer bulk, 5-fluorouracil/oxaliplatin resistant and stem cells.",LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL4352383,Inhibition of human GCK at 10 uM using MBP as substrate in presence of [gamma-33P]-ATP,GCK 抑制,Inhibition:1,1,CHEMBL4350963,"Discovery and Lead-Optimization of 4,5-Dihydropyrazoles as Mono-Kinase Selective, Orally Bioavailable and Efficacious Inhibitors of Receptor Interacting Protein 1 (RIP1) Kinase.",LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL4379338,Inhibition of recombinant human GCK (1 to 473 residues) using myelin basic protein as substrate after 40 mins in presence of [gamma-33ATP] by radiometric scintillation counting analysis,GCK 抑制,IC50:1,1,CHEMBL4376834,"Discovery of 4H-Chromen-4-one Derivatives as a New Class of Selective Rho Kinase (ROCK) Inhibitors, which Showed Potent Activity in ex Vivo Diabetic Retinopathy Models.",LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)；描述给出残基范围 1-473，超出葡萄糖激酶全长 465 aa
CHEMBL4674071,Inhibition of human GCK using MBP as substrate by [gamma-33P]-ATP assay,GCK 抑制,IC50:1,1,CHEMBL4673210,Investigating small molecules to inhibit germinal center kinase-like kinase (GLK/MAP4K3) upstream of PKCθ phosphorylation: Potential therapy to modulate T cell dependent immunity.,LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL4674112,Inhibition of human GCK using MBP as substrate at 0.5 uM by [gamma-33P]-ATP assay relative to control,GCK 抑制,Inhibition:1,1,CHEMBL4673210,Investigating small molecules to inhibit germinal center kinase-like kinase (GLK/MAP4K3) upstream of PKCθ phosphorylation: Potential therapy to modulate T cell dependent immunity.,LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL4674372,Inhibition of human GCK using MBP as substrate assessed as residual activity at 1 uM by [gamma-33P]-ATP assay relative to control,GCK 抑制,Activity:2,2,CHEMBL4673210,Investigating small molecules to inhibit germinal center kinase-like kinase (GLK/MAP4K3) upstream of PKCθ phosphorylation: Potential therapy to modulate T cell dependent immunity.,LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL4681971,Inhibition of GCK human PBMC lysates at 1 uM by ActivX screen assay relative to control,GCK 抑制,Inhibition:1,1,CHEMBL4680107,2-Aminopyridine-Based Mitogen-Activated Protein Kinase Kinase Kinase Kinase 4 (MAP4K4) Inhibitors: Assessment of Mechanism-Based Safety.,LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL4720720,Inhibition of human GCK using MBP as substrate by [gamma-33P]-ATP assay,GCK 抑制,IC50:1,1,CHEMBL4715818,Novel quinazoline derivatives bearing various 6-benzamide moieties as highly selective and potent EGFR inhibitors.,LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL4721072,Inhibition of human GCK assessed as residual activity using MBP as substrate at 1 uM by [gamma-33P]-ATP assay relative to control,GCK 抑制,Activity:1,1,CHEMBL4715818,Novel quinazoline derivatives bearing various 6-benzamide moieties as highly selective and potent EGFR inhibitors.,LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL4804384,Inhibition of GCK in human NCI-H929 cells by mass spectroscopic analysis,GCK 抑制,% inhibition:6,6,CHEMBL4804281,STK4 inhibitors for treatment of hematologic malignancies,PATENT,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL4804566,Inhibition of GCK in human NCI-H929 cells at 10 uM by mass spectroscopic analysis relative to control,GCK 抑制,Inhibition:5,5,CHEMBL4804281,STK4 inhibitors for treatment of hematologic malignancies,PATENT,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL4880638,GCK (h) Millipore kinase activity assay,GCK 抑制,Inhibition:1,1,CHEMBL4507263,Data for DCP probe BAY-474,DONATED_PROBES,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)；出现蛋白激酶专属读数「kinase activity assay」，而葡萄糖激酶磷酸化的是葡萄糖而非蛋白
CHEMBL4881060,GCK(h) Eurofins Kinase panel,无法判断,% residual kinase activity:1,1,CHEMBL4507268,Data for DCP probe BAY-885,DONATED_PROBES,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL4884319,GCK(h) Eurofins kinase panel,无法判断,% residual kinase activity:1,1,CHEMBL4507319,Data for DCP probe BAY-3827,DONATED_PROBES,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL4884756,GCK(M4K2LGY1) Takeda global kinase panel,GCK 抑制,IC50:1,1,CHEMBL4507327,Data for DCP probe TP-030-1,DONATED_PROBES,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL4885047,GCK(M4K2LGY1) Takeda global kinase panel,GCK 抑制,IC50:1,1,CHEMBL4507326,Data for DCP probe TP-030-2,DONATED_PROBES,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL4885337,GCK(M4K2LGY1) Takeda global kinase panel,GCK 抑制,IC50:1,1,CHEMBL4507327,Data for DCP probe TP-030-1,DONATED_PROBES,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL4887878,GCK(h) Millipore kinase panel,GCK 抑制,Inhibition:1,1,CHEMBL4800729,Data for DCP probe BAY-091,DONATED_PROBES,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL5038899,Inhibition of human recombinant GCK assessed as reduction in substrate phosphorylation at 50 to 500 nM using ATP and Ulight-CKKSRGDYMTMQIG (IRS-1) incubated for 60 min by LANCE detection method,GCK 抑制,Inhibition:1,1,CHEMBL5038570,"Discovery of Novel Pyrrolo[2,3-<i>d</i>]pyrimidine-based Derivatives as Potent JAK/HDAC Dual Inhibitors for the Treatment of Refractory Solid Tumors.",LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL5058199,Inhibition of GCK (unknown origin) at 1 uM,GCK 抑制,Inhibition:1,1,CHEMBL5055685,Discovery of the First Potent IDO1/IDO2 Dual Inhibitors: A Promising Strategy for Cancer Immunotherapy.,LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL5059136,GCK(h) Kinase panel,GCK 抑制,Inhibition:1,1,CHEMBL5058645,Data for DCP probe JNJ-6204,DONATED_PROBES,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL5156973,Inhibition of human recombinant GCK (1 to 473 residues) using myelin basic protein as substrate in presence of ATP incubated for 40 mins by radiometric based scintillation method,GCK 抑制,IC50:1,1,CHEMBL5154685,"Discovery of 3,4-Dihydrobenzo[<i>f</i>][1,4]oxazepin-5(2<i>H</i>)-one Derivatives as a New Class of Selective TNIK Inhibitors and Evaluation of Their Anti-Colorectal Cancer Effects.",LITERATURE,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)；描述给出残基范围 1-473，超出葡萄糖激酶全长 465 aa
CHEMBL5464035,Inhibition of GCK at 10.0 µM in the Eurofins Kinase panel,GCK 抑制,Inhibition:1,1,CHEMBL5463725,Data for DCP probe BAY-277,DONATED_PROBES,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL5464286,% Activity remaining of GCK in the Dundee kinase panel at 1.0 µM,无法判断,% Activity remaining:2,2,CHEMBL5463727,Data for DCP probe SGK3-PROTAC1,DONATED_PROBES,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL5464534,Inhibition of GCK (h) at 10.0 µM in the Eurofins Kinase panel,GCK 抑制,Inhibition:1,1,CHEMBL5463729,Data for DCP probe BAY 1753011,DONATED_PROBES,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL5464912,Inhibition of GCK (h) at 10.0 µM in the Eurofins Kinase panel,GCK 抑制,Inhibition:1,1,CHEMBL5463729,Data for DCP probe BAY 1753011,DONATED_PROBES,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL5657730,Inhibition of human GCK assessed as remaining activity at 10 uM in presence of ATP by radiometric kinase assay relative to control,GCK 抑制,Activity:1,1,CHEMBL5653622,The clinical development candidate CCT245737 is an orally active CHK1 inhibitor with preclinical activity in RAS mutant NSCLC and Eµ-MYC driven B-cell lymphoma.,LIT_CHEM_PROBES,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL5679451,Inhibition of N-terminal GST- tagged recombinant human GCK (1 to 473 residues) expressed in baculovirus infected Sf21 cells at 0.3 uM by filter binding assay relative to control,GCK 抑制,Inhibition:1,1,CHEMBL5678798,"Antitumor activity of GSK1904529A, a small-molecule inhibitor of the insulin-like growth factor-I receptor tyrosine kinase.",LIT_CHEM_PROBES,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)；描述给出残基范围 1-473，超出葡萄糖激酶全长 465 aa
CHEMBL5679684,Inhibition of N-terminal GST- tagged recombinant human GCK (1 to 473 residues) expressed in baculovirus infected Sf21 cells at 3 uM by filter binding assay relative to control,GCK 抑制,Inhibition:1,1,CHEMBL5678798,"Antitumor activity of GSK1904529A, a small-molecule inhibitor of the insulin-like growth factor-I receptor tyrosine kinase.",LIT_CHEM_PROBES,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)；描述给出残基范围 1-473，超出葡萄糖激酶全长 465 aa
CHEMBL5681798,Inhibition of N-terminal GST- tagged recombinant human GCK (1 to 473 residues) expressed in baculovirus infected Sf21 cells assessed as residual activity at 0.1 uM relative to control,GCK 抑制,Activity:1,1,CHEMBL5678806,"NMS-P937, an orally available, specific small-molecule polo-like kinase 1 inhibitor with antitumor activity in solid and hematologic malignancies.",LIT_CHEM_PROBES,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)；描述给出残基范围 1-473，超出葡萄糖激酶全长 465 aa
CHEMBL5682058,Inhibition of N-terminal GST- tagged recombinant human GCK (1 to 473 residues) expressed in baculovirus infected Sf21 cells assessed as residual activity at 1 uM relative to control,GCK 抑制,Activity:1,1,CHEMBL5678806,"NMS-P937, an orally available, specific small-molecule polo-like kinase 1 inhibitor with antitumor activity in solid and hematologic malignancies.",LIT_CHEM_PROBES,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)；描述给出残基范围 1-473，超出葡萄糖激酶全长 465 aa
CHEMBL5724151,activity of GCK(h) at 1.0 µM in the Eurofins Kinase panel,无法判断,activity:1,1,CHEMBL5723584,Data for DCP probe C3TD879,DONATED_PROBES,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
CHEMBL6194772,Effect of GCK(h) at compound concentration of 1.0 uM using the Cerep Kinase panel,无法判断,Effect:2,2,CHEMBL6193878,Data for DCP probe JNJ-78911118,DONATED_PROBES,描述只用缩写「GCK」而未出现 glucokinase/hexokinase，该缩写在激酶文献中通常指 Germinal Center Kinase (MAP4K2)
